date_utc,fng_value,fng_class,fng_sma_7,fng_sma_30,fng_z180
2019-01-01 00:00:00+00:00,24.0,Extreme Fear,,,
2019-01-02 00:00:00+00:00,30.0,Fear,,,
2019-01-03 00:00:00+00:00,33.0,Fear,,,
2019-01-04 00:00:00+00:00,48.0,Neutral,,,
2019-01-05 00:00:00+00:00,36.0,Fear,,,
2019-01-06 00:00:00+00:00,31.0,Fear,,,
2019-01-07 00:00:00+00:00,39.0,Fear,34.42857142857143,,
2019-01-08 00:00:00+00:00,39.0,Fear,36.57142857142857,,
2019-01-09 00:00:00+00:00,42.0,Fear,38.285714285714285,,
2019-01-10 00:00:00+00:00,37.0,Fear,38.857142857142854,,
2019-01-11 00:00:00+00:00,19.0,Extreme Fear,34.714285714285715,,
2019-01-12 00:00:00+00:00,22.0,Extreme Fear,32.714285714285715,,
2019-01-13 00:00:00+00:00,21.0,Extreme Fear,31.285714285714285,,
2019-01-14 00:00:00+00:00,16.0,Extreme Fear,28.0,,
2019-01-15 00:00:00+00:00,27.0,Fear,26.285714285714285,,
2019-01-16 00:00:00+00:00,24.0,Extreme Fear,23.714285714285715,,
2019-01-17 00:00:00+00:00,28.0,Fear,22.428571428571427,,
2019-01-18 00:00:00+00:00,29.0,Fear,23.857142857142858,,
2019-01-19 00:00:00+00:00,31.0,Fear,25.142857142857142,,
2019-01-20 00:00:00+00:00,35.0,Fear,27.142857142857142,,
2019-01-21 00:00:00+00:00,30.0,Fear,29.142857142857142,,
2019-01-22 00:00:00+00:00,27.0,Fear,29.142857142857142,,
2019-01-23 00:00:00+00:00,33.0,Fear,30.428571428571427,,
2019-01-24 00:00:00+00:00,37.0,Fear,31.714285714285715,,
2019-01-25 00:00:00+00:00,35.0,Fear,32.57142857142857,,
2019-01-26 00:00:00+00:00,41.0,Fear,34.0,,
2019-01-27 00:00:00+00:00,39.0,Fear,34.57142857142857,,
2019-01-28 00:00:00+00:00,35.0,Fear,35.285714285714285,,
2019-01-29 00:00:00+00:00,21.0,Extreme Fear,34.42857142857143,,
2019-01-30 00:00:00+00:00,22.0,Extreme Fear,32.857142857142854,31.033333333333335,
2019-01-31 00:00:00+00:00,17.0,Extreme Fear,30.0,30.8,
2019-02-01 00:00:00+00:00,23.0,Extreme Fear,28.285714285714285,30.566666666666666,
2019-02-02 00:00:00+00:00,22.0,Extreme Fear,25.571428571428573,30.2,
2019-02-03 00:00:00+00:00,19.0,Extreme Fear,22.714285714285715,29.233333333333334,
2019-02-04 00:00:00+00:00,27.0,Fear,21.571428571428573,28.933333333333334,
2019-02-05 00:00:00+00:00,21.0,Extreme Fear,21.571428571428573,28.6,
2019-02-06 00:00:00+00:00,14.0,Extreme Fear,20.428571428571427,27.766666666666666,
2019-02-07 00:00:00+00:00,18.0,Extreme Fear,20.571428571428573,27.066666666666666,
2019-02-08 00:00:00+00:00,37.0,Fear,22.571428571428573,26.9,
2019-02-09 00:00:00+00:00,42.0,Fear,25.428571428571427,27.066666666666666,
2019-02-10 00:00:00+00:00,40.0,Fear,28.428571428571427,27.766666666666666,
2019-02-11 00:00:00+00:00,46.0,Fear,31.142857142857142,28.566666666666666,
2019-02-12 00:00:00+00:00,38.0,Fear,33.57142857142857,29.133333333333333,
2019-02-13 00:00:00+00:00,48.0,Neutral,38.42857142857143,30.2,
2019-02-14 00:00:00+00:00,48.0,Neutral,42.714285714285715,30.9,
2019-02-15 00:00:00+00:00,43.0,Fear,43.57142857142857,31.533333333333335,
2019-02-16 00:00:00+00:00,43.0,Fear,43.714285714285715,32.03333333333333,
2019-02-17 00:00:00+00:00,38.0,Fear,43.42857142857143,32.333333333333336,
2019-02-18 00:00:00+00:00,63.0,Greed,45.857142857142854,33.4,
2019-02-19 00:00:00+00:00,65.0,Greed,49.714285714285715,34.4,
2019-02-20 00:00:00+00:00,59.0,Greed,51.285714285714285,35.36666666666667,
2019-02-21 00:00:00+00:00,59.0,Greed,52.857142857142854,36.43333333333333,
2019-02-22 00:00:00+00:00,61.0,Greed,55.42857142857143,37.36666666666667,
2019-02-23 00:00:00+00:00,63.0,Greed,58.285714285714285,38.233333333333334,
2019-02-24 00:00:00+00:00,69.0,Greed,62.714285714285715,39.36666666666667,
2019-02-25 00:00:00+00:00,47.0,Neutral,60.42857142857143,39.56666666666667,
2019-02-26 00:00:00+00:00,40.0,Fear,56.857142857142854,39.6,
2019-02-27 00:00:00+00:00,39.0,Fear,54.0,39.733333333333334,
2019-02-28 00:00:00+00:00,39.0,Fear,51.142857142857146,40.333333333333336,
2019-03-01 00:00:00+00:00,42.0,Fear,48.42857142857143,41.0,
2019-03-02 00:00:00+00:00,41.0,Fear,45.285714285714285,41.8,
2019-03-03 00:00:00+00:00,44.0,Fear,41.714285714285715,42.5,
2019-03-04 00:00:00+00:00,36.0,Fear,40.142857142857146,42.96666666666667,
2019-03-05 00:00:00+00:00,35.0,Fear,39.42857142857143,43.5,
2019-03-06 00:00:00+00:00,42.0,Fear,39.857142857142854,44.0,
2019-03-07 00:00:00+00:00,56.0,Greed,42.285714285714285,45.166666666666664,
2019-03-08 00:00:00+00:00,54.0,Neutral,44.0,46.5,
2019-03-09 00:00:00+00:00,55.0,Greed,46.0,47.733333333333334,
2019-03-10 00:00:00+00:00,55.0,Greed,47.57142857142857,48.333333333333336,
2019-03-11 00:00:00+00:00,56.0,Greed,50.42857142857143,48.8,
2019-03-12 00:00:00+00:00,56.0,Greed,53.42857142857143,49.333333333333336,
2019-03-13 00:00:00+00:00,54.0,Neutral,55.142857142857146,49.6,
2019-03-14 00:00:00+00:00,55.0,Greed,55.0,50.166666666666664,
2019-03-15 00:00:00+00:00,55.0,Greed,55.142857142857146,50.4,
2019-03-16 00:00:00+00:00,54.0,Neutral,55.0,50.6,
2019-03-17 00:00:00+00:00,58.0,Greed,55.42857142857143,51.1,
2019-03-18 00:00:00+00:00,56.0,Greed,55.42857142857143,51.53333333333333,
2019-03-19 00:00:00+00:00,56.0,Greed,55.42857142857143,52.13333333333333,
