ds,y,btc_volume_log1p,spx_close,hr_hash_rate,fg_fng_value,gt_bitcoin,btc_eth_ratio,fg_fng_value_ma30,gt_bitcoin_ma30,hr_hash_rate_ma30,fg_fng_value_z91d,gt_bitcoin_z91d,hr_hash_rate_z91d,fg_fng_value_z91d_l1,fg_fng_value_z91d_l3,fg_fng_value_z91d_l7,fg_fng_value_z91d_l14,gt_bitcoin_z91d_l28,gt_bitcoin_z91d_l35,gt_bitcoin_z91d_l42,gt_bitcoin_z91d_l49,gt_bitcoin_z91d_l56,hr_hash_rate_z91d_l14,hr_hash_rate_z91d_l28,m2_ma30,m2_lag30
2019-04-12,5089.5390625,23.338850272014508,2907.409912109375,47987638.84234,42.0,6.758,30.895061947951863,56.36666666666667,6.522633333333333,46076772.77549926,-0.1755151912236834,0.5372682601085786,1.1377569579580056,1.376098968061554,1.3683336287002763,1.172515678903062,0.6850476339960203,-1.150916721499599,-0.8631632691311624,-0.9550518110201698,-0.1470344977391013,-0.986426979391652,0.8923224702732806,0.9585924784904668,14599.196666666669,14536.2
2019-04-13,5096.58642578125,23.10496609363959,2907.409912109375,47987638.84234,62.0,5.876,30.979773867330913,56.6,6.561800000000001,46318772.679906756,1.1548452299246446,-0.0664392689459331,1.1158426628190352,-0.1755151912236834,1.2080558919469886,1.5571200063784698,1.192406083384728,-1.1330181999864408,-0.8519735900647528,-1.7028874368952405,-0.1456110794017536,-1.7431336921863505,0.8832510635632752,0.9462366216997984,14605.26,14536.2
2019-04-14,5167.72216796875,23.064297545384324,2907.409912109375,38771469.7931489,51.0,5.876,30.789846597084495,56.46666666666667,6.591166666666666,46072555.208407365,0.3892081763091358,-0.0664392689459337,-1.564341882276093,1.1548452299246446,1.376098968061554,1.7834056228424209,1.103705089329905,-1.4991068485777153,-1.2338386616234545,-1.2780701812004829,1.806600151283436,-1.6713115191994228,0.1444072844581961,0.2986700078970522,14609.896666666667,14579.0
2019-04-15,5067.1083984375,23.232064377369092,2905.580078125,38771469.7931489,60.0,6.758,31.3608809203956,56.666666666666664,6.649933333333333,45826337.736907974,0.9947835414800662,0.5372682601085786,-1.5295790728156058,0.3892081763091358,-0.1755151912236834,1.4693225757369228,1.5223619927126324,-0.6998040129298944,-0.8199643651014714,-0.4862593096860039,0.9956539949065272,1.1081372963253988,0.143586146930421,0.2965245977110453,14614.533333333333,14579.0
2019-04-16,5235.5595703125,23.175878280345525,2907.06005859375,46080845.2459556,50.0,6.758,31.234053290876865,56.4,6.718500000000001,45894159.56864308,0.2767777317691811,0.5320605326777792,0.5599925983672375,0.9947835414800662,1.1548452299246446,1.3683336287002763,1.3527814663259825,0.0932254003365981,-0.4131466075331854,-0.4814819821775639,-0.1930765076134126,1.4579106068502512,1.7802364826867676,2.7437146207588823,14619.17,14579.0
2019-04-17,5251.93798828125,23.244060784805157,2900.449951171875,46080845.2459556,61.0,7.345,31.458005892360905,56.56666666666667,6.787033333333334,45961981.40037819,1.0364629520883395,0.9228069439266218,0.5433109188364837,0.2767777317691811,0.3892081763091358,1.2080558919469886,2.0863533949096165,-0.3047001288822318,-1.2046396074240482,-0.476842750081056,-0.5863438868190495,1.0417508987712332,1.7283351837927308,2.603335965329757,14623.806666666667,14579.0
2019-04-18,5298.3857421875,23.307753074670774,2905.030029296875,47352040.9768785,64.0,6.758,30.483073591994295,56.833333333333336,6.816433333333333,45790602.60391363,1.2244394489778456,0.5159261641533196,0.8927494245629697,1.0364629520883395,0.9947835414800662,1.376098968061554,1.332410153200511,0.0971029882142602,-1.571111782773264,-0.4723350860140621,-0.9709145191344224,0.2498208651204019,0.1800614425811828,-0.052965875474679,14628.443333333333,14579.0
2019-04-19,5303.8125,23.346501421395015,2905.030029296875,47352040.9768785,61.0,6.17,30.532843717180263,57.03333333333333,6.836033333333334,45619223.80744907,0.9881380953252374,0.1140887640867452,0.8730469476098033,1.2244394489778456,0.2767777317691811,-0.1755151912236834,1.172515678903062,-0.7047855904989665,-1.150916721499599,-0.8631632691311624,-0.9550518110201698,-0.1470344977391013,0.1716514716300246,-0.0526328749083835,14633.82,14579.0
2019-04-20,5337.88623046875,23.301180588713983,2905.030029296875,41631660.1877254,62.0,6.17,30.72142343836543,57.03333333333333,6.845833333333333,45568908.09406547,1.0372173030272938,0.1076426645904687,-0.8125482634856215,0.9881380953252374,1.0364629520883395,1.1548452299246446,1.5571200063784698,-1.4869052013917636,-1.1330181999864408,-0.8519735900647528,-1.7028874368952405,-0.1456110794017536,0.0736939773418702,0.1201809325378172,14639.196666666669,14579.0
2019-04-21,5314.53125,23.342983368463532,2905.030029296875,41631660.1877254,62.0,5.876,31.253395385515063,57.233333333333334,6.865399999999999,45518592.38068188,1.0146732963797755,-0.0992647769968697,-0.796741246516211,1.0372173030272938,1.2244394489778456,0.3892081763091358,1.7834056228424209,-1.838812591868173,-1.4991068485777153,-1.2338386616234545,-1.2780701812004829,1.806600151283436,0.0593923124495094,0.1194353558756796,14644.233333333334,14589.2
2019-04-22,5399.365234375,23.4043991161972,2907.969970703125,42318655.5416624,61.0,6.464,31.41454999290659,57.6,6.924166666666666,45471064.096770205,0.9224337392174216,0.2952946701145383,-0.5828196545262805,1.0146732963797755,0.9881380953252374,0.9947835414800662,1.4693225757369228,-1.0317042101018494,-0.6998040129298944,-0.8199643651014714,-0.4862593096860039,0.9956539949065272,0.8959775857605526,1.0347579332699692,14649.27,14589.2
2019-04-23,5572.3623046875,23.487526735736346,2933.679931640625,42318655.5416624,68.0,8.814,32.5018012188142,58.4,7.071066666666666,45423535.812858544,1.398705679024302,1.8392943973547904,-0.607031210218171,0.9224337392174216,1.0372173030272938,0.2767777317691811,1.3683336287002763,-1.0191081923323837,0.0932254003365981,-0.4131466075331854,-0.4814819821775639,-0.1930765076134126,0.8969589233757954,1.0220867223220595,14654.306666666667,14589.2
2019-04-24,5464.86669921875,23.559300690914903,2927.25,51477170.5469476,65.0,7.639,32.955408375683305,59.03333333333333,7.1592,45575007.46998893,1.1557362812881251,1.0298640157376957,2.076030905533643,1.398705679024302,1.0146732963797755,1.0364629520883395,1.2080558919469886,0.1686344282449357,-0.3047001288822318,-1.2046396074240482,-0.476842750081056,-0.5863438868190495,0.8979417135562197,1.0997710898240247,14659.343333333332,14589.2
2019-04-25,5210.515625,23.45309601687386,2926.169921875,51477170.5469476,58.0,7.345,33.73388571827677,59.53333333333333,7.237533333333333,45726479.12711931,0.6336180184271998,0.819914218384677,2.0234865342513704,1.1557362812881251,0.9224337392174216,1.2244394489778456,1.376098968061554,-0.6229079468065974,0.0971029882142602,-1.571111782773264,-0.4723350860140621,-0.9709145191344224,0.8830499047103716,1.08575008597684,14664.38,14589.2
