ds,ds,btc_high,btc_low,btc_close,btc_volume,eth_open,eth_high,eth_low,eth_close,eth_volume,spx_close,m2,fg_fng_value,gt_bitcoin,hr_hash_rate,btc_ret1d,eth_ret1d,spx_ret1d,btc_ret5d,btc_ret20d,vol_10d,vol_20d,sma_10,sma_20,sma_50,sma_200,sma_ratio_10_50,sma_ratio_50_200,macd_line,macd_signal,macd_hist,rsi_14,btc_volume_log1p,fg_fng_value_ma30,gt_bitcoin_ma30,hr_hash_rate_ma30,fg_fng_value_z91d,gt_bitcoin_z91d,hr_hash_rate_z91d,m2_chg1d,btc_ret1d_l1,btc_ret1d_l2,btc_ret1d_l3,btc_ret1d_l5,btc_ret1d_l10,eth_ret1d_l1,eth_ret1d_l2,eth_ret1d_l3,spx_ret1d_l1,spx_ret1d_l2,spx_ret1d_l5,macd_hist_l1,macd_hist_l3,macd_hist_l5,rsi_14_l1,rsi_14_l3,rsi_14_l5,fg_fng_value_z91d_l1,fg_fng_value_z91d_l3,fg_fng_value_z91d_l7,fg_fng_value_z91d_l14,gt_bitcoin_z91d_l7,gt_bitcoin_z91d_l14,gt_bitcoin_z91d_l28,y_next,roc_5,roc_10,roc_20,stoch_k_14,stoch_d_14,rsi_14_slope_5,macd_hist_slope_5
4971.3076171875,2019-04-04 00:00:00+00:00,5063.15966796875,4836.7939453125,4922.798828125,18251810240,161.4317626953125,164.92921447753906,155.24110412597656,158.0525360107422,7953123529.0,2879.389892578125,14550.3,61.0,10.283,44396100.788007,-0.0101504618478838,-0.0213225254647175,0.002082465242994,0.1812671521582434,0.2174031534208413,0.0497533449041298,0.0367706178989493,4338.5574951171875,4186.253198242188,3999.0290966796874,3839.033452515961,1.0849027076895743,1.0416760224006043,206.92958689910935,110.81003480791814,96.11955209119124,84.39849766761218,23.627530103343453,54.266666666666666,5.925233333333334,45134220.123063825,1.332410153200511,3.125569575370484,0.1800614425811828,0.0,0.0189074929695092,0.160041979768394,0.0127739984353123,0.0020196495646782,-0.0148019957754375,-0.0153831362137015,0.1450017163340851,0.0022320769491299,0.0021460724200892,1.745555485843653e-05,0.0,84.31216242383937,4.74336376909352,1.0551605106516604,88.28251969824862,66.57375451167074,62.594771775052195,2.0863533949096165,1.5223619927126324,0.6162609372043885,1.587346738634538,-0.6229079468065974,0.0971029882142602,-0.4723350860140621,0.022870127391311,0.1812671521582434,0.21685811836997537,0.21740315342084138,95.02717222483959,98.34239074161313,21.80372589255998,95.06439158053958
4922.80615234375,2019-04-05 00:00:00+00:00,5053.509765625,4919.49169921875,5036.68115234375,16837325387,158.02000427246094,167.2203826904297,157.44395446777344,165.5148468017578,7531316908.0,2892.739990234375,14670.3,59.0,8.227,44396100.788007,0.022870127391311,0.0461334154094084,0.0046257176230994,0.2044431367166428,0.2183451418956963,0.049429169731859,0.0367861275552341,4443.717529296875,4235.650964355469,4027.425102539062,3851.7743854928526,1.1033644117913857,1.045602545597627,241.7336840367725,136.99476465368903,104.73891938308348,85.91203246841023,23.54686400820596,54.833333333333336,6.013400000000001,45114985.731351234,1.172515678903062,1.629983073731861,0.1716514716300246,120.0,-0.0101504618478838,0.0189074929695092,0.160041979768394,-0.0003058571670884,0.0055384728228027,-0.0213225254647175,-0.0153831362137015,0.1450017163340851,0.002082465242994,0.0021460724200892,0.0,96.11955209119124,52.04656029178675,1.5917942152006148,84.39849766761218,87.27394702799309,62.423031992241945,1.332410153200511,1.3527814663259825,0.6850476339960203,1.1348403652608074,-0.617941213689154,-0.7047855904989665,-0.8631632691311624,0.004583028638013,0.20444313671664283,0.23418977293848364,0.21834514189569632,99.99999999999991,98.34239074161314,23.489000476168286,103.14712516788288
5036.79296875,2019-04-06 00:00:00+00:00,5205.82177734375,4992.22216796875,5059.8173828125,16929795194,165.51124572753906,172.51577758789062,161.79946899414062,165.94720458984375,7167016221.0,2892.739990234375,14670.3,65.0,7.051,44081037.5636847,0.004583028638013,0.0026087935646481,0.0,0.1962521669193435,0.2287485876623591,0.0497747800180635,0.0366101262647019,4540.992651367187,4287.380383300781,4056.205234375,3864.490627569902,1.1195174772922662,1.049609282381842,268.09267671436555,163.21434706582434,104.8783296485412,86.20483435691257,23.552340935853486,55.13333333333333,6.062366666666666,45155676.95649583,1.5571200063784698,0.7902987904822468,0.0736939773418702,0.0,0.022870127391311,-0.0101504618478838,0.0189074929695092,0.0127739984353123,0.0252698021617785,0.0461334154094084,-0.0213225254647175,-0.0153831362137015,0.0046257176230994,0.002082465242994,0.0115021955180445,104.73891938308348,84.31216242383937,4.74336376909352,85.91203246841023,88.28251969824862,66.57375451167074,1.172515678903062,2.0863533949096165,1.192406083384728,0.6933323819798983,-1.0080348260414769,-1.4869052013917636,-0.8519735900647528,0.0271160901487466,0.19625216691934355,0.21350299941471818,0.22874858766235917,99.99999999999993,98.34239074161314,19.63107984524183,100.13496587944768
5062.7939453125,2019-04-07 00:00:00+00:00,5235.1865234375,5050.412109375,5198.89697265625,16655416140,165.9772491455078,175.21316528320312,164.93209838867188,174.53164672851562,7596176020.0,2892.739990234375,14670.3,69.0,7.051,44081037.5636847,0.0271160901487466,0.0504363886796399,0.0,0.063326277299696,0.2540581351307374,0.0489539236594968,0.0366970264981415,4653.971630859375,4345.699865722656,4087.587421875,3878.390693664551,1.1385619805837863,1.053939054812651,296.7837900907343,189.92823567080632,106.85555441992798,87.84083930338946,23.536001294230076,55.63333333333333,6.1211,45196368.181640424,1.7834056228424209,0.7809533252368018,0.0593923124495094,0.0,0.004583028638013,0.022870127391311,-0.0101504618478838,0.160041979768394,-0.0044037841400328,0.0026087935646481,0.0461334154094084,-0.0213225254647175,0.0,0.0046257176230994,1.745555485843653e-05,104.8783296485412,96.11955209119124,52.04656029178675,86.20483435691257,84.39849766761218,87.27394702799309,1.5571200063784698,1.332410153200511,1.103705089329905,0.2551826595231958,-1.3864750471275415,-1.838812591868173,-1.2338386616234545,0.0173284725262092,0.06332627729969609,0.24502287370349762,0.2540581351307374,99.99999999999993,99.99999999999993,0.5668922753963699,54.80899412814124
5199.83544921875,2019-04-08 00:00:00+00:00,5318.83642578125,5148.2119140625,5289.77099609375,17154113634,174.44967651367188,184.3778533935547,174.16099548339844,180.25881958007812,9304964610.0,2895.77001953125,14670.3,65.0,8.227,47034242.0441478,0.0173284725262092,0.0322876228674458,0.0010469117505236,0.0617472568563961,0.2618395693829871,0.0486586742982546,0.0367030560459708,4773.111279296875,4406.62890625,4119.906118164063,3892.941006060728,1.1585485548452004,1.058301708592548,323.129641014918,216.56851673962868,106.5611242752893,88.77735280330938,23.565503843895172,55.96666666666667,6.219033333333334,45375743.970039286,1.4693225757369228,1.5797735772195924,0.8959775857605526,0.0,0.0271160901487466,0.004583028638013,0.022870127391311,0.0189074929695092,0.0071668258025052,0.0504363886796399,0.0026087935646481,0.0461334154094084,0.0,0.0,0.0021460724200892,106.85555441992798,104.73891938308348,84.31216242383937,87.84083930338946,85.91203246841023,88.28251969824862,1.7834056228424209,1.172515678903062,1.5223619927126324,0.3986980973406691,-0.1878906793701769,-1.0317042101018494,-0.8199643651014714,-0.0161632267879205,0.06174725685639615,0.25518452042720163,0.26183956938298714,99.99999999999993,99.99999999999993,0.4948331050607635,22.248961851449934
5289.91796875,2019-04-09 00:00:00+00:00,5289.91796875,5167.4189453125,5204.95849609375,14722104361,180.2221221923828,180.2542266845703,175.0917510986328,176.1145782470703,7632529578.0,2878.199951171875,14670.3,64.0,7.933,47034242.0441478,-0.0161632267879205,-0.0232589086885006,-0.0060859764356697,0.0557344919163593,0.2416839856488337,0.0499567659672573,0.0372388617640437,4882.94111328125,4462.503015136719,4145.6910009765625,3906.3289396324935,1.177835278155323,1.061275449416348,333.3229186220142,239.91939711610576,93.4035215059084,82.39860959481577,23.412615899404425,56.266666666666666,6.3169666666666675,45555119.75843814,1.3683336287002763,1.3515883493535374,0.8969589233757954,0.0,0.0173284725262092,0.0271160901487466,0.004583028638013,-0.0101504618478838,0.0020196495646782,0.0322876228674458,0.0504363886796399,0.0026087935646481,0.0010469117505236,0.0,0.002082465242994,106.5611242752893,104.8783296485412,96.11955209119124,88.77735280330938,86.20483435691257,84.39849766761218,1.4693225757369228,1.5571200063784698,1.3527814663259825,0.176988537731583,6.0,-1.0191081923323837,-0.4131466075331854,0.0227168029339157,0.055734491916359374,0.23700164407460278,0.24168398564883375,93.0519362723479,97.68397875744925,-1.9998880727964092,-2.7160305852828373
5204.10546875,2019-04-10 00:00:00+00:00,5421.6513671875,5193.38232421875,5324.5517578125,15504590933,176.06784057617188,183.13427734375,175.23037719726562,177.3374786376953,7856924879.0,2888.2099609375,14670.3,62.0,7.639,47034242.0441478,0.0227168029339157,0.0069197801880926,0.0034718377544997,0.0555811674589641,0.2787291903730882,0.049253065142411,0.0367743711452734,5004.855859375,4527.2642578125,4173.240146484375,3920.654422644413,1.1992733903873696,1.0644243783336549,347.05075621628384,261.3456689361414,85.70508728014244,84.13016671162853,23.464402006306543,56.46666666666667,6.3953,45694946.314764954,1.2080558919469886,1.1402913135065658,0.8979417135562197,0.0,-0.0161632267879205,0.0173284725262092,0.0271160901487466,0.022870127391311,-0.0003058571670884,-0.0232589086885006,0.0322876228674458,0.0504363886796399,-0.0060859764356697,0.0010469117505236,0.0046257176230994,93.4035215059084,106.85555441992798,104.73891938308348,82.39860959481577,87.84083930338946,85.91203246841023,1.3683336287002763,1.7834056228424209,2.0863533949096165,0.249380961834882,5.739431717447692,0.1686344282449357,-1.2046396074240482,-0.0500755252871911,0.05558116745896413,0.26002430417560696,0.2787291903730882,99.99999999999993,97.68397875744925,-1.7818657567816985,-19.033832102941048
5325.08154296875,2019-04-11 00:00:00+00:00,5354.2255859375,5017.29638671875,5064.48779296875,16555616019,177.34275817871094,177.48748779296875,162.32061767578125,165.4970245361328,7859383417.0,2888.320068359375,14670.3,65.0,7.639,47034242.0441478,-0.0500755252871911,-0.0691013601549412,3.812234034228368e-05,0.0009226135337598,0.2299844603090974,0.0548235933614898,0.0393636058103478,5095.486328125,4579.290234375,4194.533491210937,3932.092756347656,1.2147921428692563,1.066743271617796,333.1053468086884,275.6976045106508,57.40774229803759,68.37728975986923,23.529991217763747,56.766666666666666,6.463866666666666,45834772.87109176,1.376098968061554,1.1402913135065658,0.8830499047103716,0.0,0.0227168029339157,-0.0161632267879205,0.0173284725262092,0.004583028638013,0.0127739984353123,0.0069197801880926,-0.0232589086885006,0.0322876228674458,0.0034718377544997,-0.0060859764356697,0.0,85.70508728014244,106.5611242752893,104.8783296485412,84.13016671162853,88.77735280330938,86.20483435691257,1.2080558919469886,1.4693225757369228,1.332410153200511,0.6162609372043885,3.125569575370484,-0.6229079468065974,-1.571111782773264,0.0049342631676374,0.0009226135337598862,0.19717478045310344,0.22998446030909747,78.79067111445428,90.61420246226737,-17.827544597043342,-47.47058735050361
5061.20068359375,2019-04-12 00:00:00+00:00,5103.2744140625,4955.8525390625,5089.5390625,13675206312,165.335205078125,166.1275177001953,161.0297393798828,164.736328125,6237185309.0,2907.409912109375,14718.1,42.0,6.758,47987638.84234,0.0049342631676374,-0.004607031666957,0.0065875783895457,-0.0212592134473492,0.2319761763456362,0.0239730746764215,0.039343333170565,5116.45244140625,4631.975866699218,4217.241909179687,3943.5526207650064,1.2132224215711331,1.0694017082398122,320.3817757903171,284.6344387665841,35.747337023732996,68.97983066982346,23.338850272014508,56.36666666666667,6.522633333333333,46076772.77549926,-0.1755151912236834,0.5372682601085786,1.1377569579580056,47.80000000000109,-0.0500755252871911,0.0227168029339157,-0.0161632267879205,0.0271160901487466,0.160041979768394,-0.0691013601549412,0.0069197801880926,-0.0232589086885006,3.812234034228368e-05,0.0034718377544997,0.0,57.40774229803759,93.4035215059084,106.85555441992798,68.37728975986923,82.39860959481577,87.84083930338946,1.376098968061554,1.3683336287002763,1.172515678903062,0.6850476339960203,1.629983073731861,-0.617941213689154,-1.150916721499599,0.0013837183556812,-0.021259213447349268,0.04206706385234682,0.23197617634563628,80.72319363797217,86.50462158414213,-18.861008633566,-71.10821739619499
5088.85009765625,2019-04-13 00:00:00+00:00,5127.1220703125,5061.58935546875,5096.58642578125,10823289598,164.6228485107422,166.3624267578125,163.01185607910156,164.5133514404297,4959301561.0,2907.409912109375,14718.1,62.0,5.876,47987638.84234,0.0013837183556812,-0.0013544536714693,0.0,-0.0372039676178772,0.2367498736809405,0.0234130131254645,0.039262010792969,5128.80888671875,4685.69677734375,4239.06310546875,3954.8568737553614,1.2098920820740204,1.0718625833464153,307.32427447596183,289.17240590845967,18.151868567502163,69.15786896678668,23.10496609363959,56.6,6.561800000000001,46318772.679906756,1.1548452299246446,-0.0664392689459331,1.1158426628190352,0.0,0.0049342631676374,-0.0500755252871911,0.0227168029339157,0.0173284725262092,0.0189074929695092,-0.004607031666957,-0.0691013601549412,0.0069197801880926,0.0065875783895457,3.812234034228368e-05,0.0010469117505236,35.747337023732996,85.70508728014244,106.5611242752893,68.97983066982346,84.13016671162853,88.77735280330938,-0.1755151912236834,1.2080558919469886,1.5571200063784698,1.192406083384728,0.7902987904822468,-1.0080348260414769,-1.1330181999864408,0.0138610176152909,-0.037203967617877254,0.024543289238518895,0.23674987368094058,81.30125031339934,80.27170502194193,-19.619483836522704,-88.40925570778714
