ds,y,btc_volume_log1p,spx_close,hr_hash_rate,fg_fng_value,gt_bitcoin,btc_eth_ratio,fg_fng_value_ma30,gt_bitcoin_ma30,hr_hash_rate_ma30,fg_fng_value_z91d,gt_bitcoin_z91d,hr_hash_rate_z91d,fg_fng_value_z91d_l1,fg_fng_value_z91d_l3,fg_fng_value_z91d_l7,fg_fng_value_z91d_l14,gt_bitcoin_z91d_l28,gt_bitcoin_z91d_l35,gt_bitcoin_z91d_l42,gt_bitcoin_z91d_l49,gt_bitcoin_z91d_l56,hr_hash_rate_z91d_l14,hr_hash_rate_z91d_l28,m2_ma30,m2_lag30,rsi_14,sma_50,sma_200,macd_12_26,macd_signal_9,macd_hist,sma_ratio_50_200
2019-06-16,8994.48828125,23.87380073399477,2886.97998046875,53775192.2320125,80.0,11.459,33.40903791085509,61.833333333333336,9.7741,53997784.21706168,1.7663724427261989,1.1215368123200264,0.881194862161067,1.368468829662945,0.3225051160697413,0.2417439459144993,0.346591586581272,1.4978520348676712,3.696730221649194,0.5495932168652313,-0.5754283274364881,-0.0992647769968697,1.7866304765690018,1.205659945528032,14630.239999999998,14567.9,66.38821938594151,7477.428193359375,6942.86709132339,275.92877693780974,239.28495423852794,36.6438226992818,1.0769942870869633
2019-06-17,9320.3525390625,23.468159049785857,2889.669921875,48986990.1839566,84.0,12.34,33.972352865209174,62.4,9.852433333333332,53931125.774831794,2.0457698764884387,1.4117756346332817,-0.0730483188545767,1.7663724427261989,0.6739710198691984,-1.2055516181815364,0.6293930217376363,1.670147918180359,3.776041006420981,0.5385323860711668,-0.1791027997801438,0.2952946701145383,-0.7479993876078499,1.8079479616154648,14636.506666666666,14567.9,69.89440691178481,7558.1324609375,6978.351948752332,330.797303179399,257.5874240267022,73.20987915269683,1.0830827273320354
2019-06-18,9081.7626953125,23.486322431022213,2917.75,48986990.1839566,83.0,11.752,34.26409857943709,62.833333333333336,9.871999999999998,53864467.33260192,1.895994307147204,1.1696181591891175,-0.0655528082349111,2.0457698764884387,1.368468829662945,0.1539973820667556,-1.8608857999963413,1.6267406739010708,4.426698910024811,1.488916045631176,-0.1769145455497246,1.8392943973547904,-0.7450452743670526,1.7598855249752712,14642.773333333333,14567.9,64.58241043014431,7634.8206640625,7009.284459731158,350.9828868794557,276.2665165972529,74.71637028220277,1.0892439460725403
2019-06-19,9273.521484375,23.46712130642301,2926.4599609375,65193212.5004535,82.0,9.99,34.418809205072385,63.13333333333333,9.813266666666667,54248922.92163515,1.7572520225190869,0.5103512133097997,2.973823169825091,1.895994307147204,1.7663724427261989,0.0570720132417098,-3.2584403212573414,0.9711114626249616,3.1825471523469098,1.6397524291997252,-0.1791787331822771,1.0298640157376957,2.3894123000769816,2.1498720846410717,14649.04,14567.9,66.76843084024382,7713.2765625,7042.099489073822,378.09499532318114,296.63221234243855,81.46278298074259,1.0953092290825404
2019-06-20,9527.16015625,23.605091390123313,2954.179931640625,65193212.5004535,81.0,10.577,35.0656430903092,63.56666666666667,9.7741,54633378.51066838,1.6316473870882475,0.7090631952993248,2.81823707279713,1.7572520225190869,2.0457698764884387,0.3225051160697413,-2.453425318066469,0.8486316141797297,2.678708506327483,1.9548757224601976,0.2073401225478645,0.819914218384677,2.2953282706131195,2.1147338927790247,14655.306666666667,14567.9,69.45398916254118,7795.7658203125,7077.600355747768,415.2611852184273,320.3580069176363,94.90317830079096,1.1014701916563436
2019-06-21,10144.556640625,23.749721702266505,2950.4599609375,48986990.1839566,84.0,13.515,34.398789687508405,64.06666666666666,9.8916,54410968.86948779,1.820629312969447,1.7434408864250943,-0.142307352941948,1.6316473870882475,1.895994307147204,0.6739710198691984,-2.949304144874635,0.8316153365913894,2.448850646095715,2.4037932914351927,1.35364594902946,0.8033377717455514,2.0720200831457665,1.0312360973548629,14662.929999999998,14567.9,74.79378589943661,7888.551279296875,7120.796923140405,488.8986753689096,354.066140607891,134.83253476101862,1.1078186001431247
2019-06-22,10701.69140625,24.12430336789979,2950.4599609375,48986990.1839566,83.0,21.448,34.590732048278056,64.66666666666667,10.283333333333331,54188559.22830721,1.6911724289076755,4.1617315657695215,-0.1538929126331909,1.820629312969447,1.7572520225190869,1.368468829662945,0.2486623943752883,0.2965000392184972,1.094727265522101,3.385105607974623,0.3689949087040065,-0.1809863366794211,2.007519717189195,1.0089032566481717,14670.553333333331,14567.9,78.45408054774934,7987.21931640625,7170.531568739149,585.464169748986,400.34574643611,185.11842331287602,1.1138950076208511
2019-06-23,10855.37109375,23.767708581161056,2950.4599609375,66666505.4383169,84.0,14.691,35.264428589117706,65.33333333333333,10.449833333333334,54711001.67482112,1.7266211138746628,1.8651048810413489,2.932954157800189,1.6911724289076755,1.6316473870882475,1.7663724427261989,0.2417439459144993,0.5005103632444989,1.4978520348676712,3.696730221649194,0.5495932168652313,-0.5754283274364881,1.184658148527449,1.892577136406166,14677.33,14593.3,79.3450709504312,8087.703388671875,7221.008822506421,666.7082880553262,453.6182547599533,213.0900332953729,1.120024028147444
2019-06-24,11011.1025390625,23.681901063802393,2945.35009765625,66666505.4383169,80.0,14.984,35.47109220255297,65.7,10.675066666666664,55233444.121335015,1.3771353309466363,1.905314471626125,2.7729599082934793,1.7266211138746628,1.820629312969447,2.0457698764884387,-1.2055516181815364,2.200466081853828,1.670147918180359,3.776041006420981,0.5385323860711668,-0.1791027997801438,1.158686847282021,1.8347188484145076,14684.106666666665,14593.3,80.23695104140872,8192.01126953125,7272.226305162584,735.1862933281809,509.9318624735988,225.2544308545821,1.1264791448687048
2019-06-25,11790.9169921875,23.937317425235396,2917.3798828125,53775192.2320125,87.0,17.629,37.06363333663649,66.36666666666666,10.9689,55192860.48831093,1.8826401323011992,2.64313875621312,0.5774203701955982,1.3771353309466363,1.6911724289076755,1.895994307147204,0.1539973820667556,1.250171079423144,1.6267406739010708,4.426698910024811,1.488916045631176,-0.1769145455497246,0.8492135002222271,1.7084224517067834,14690.883333333331,14593.3,83.96966708295665,8312.893466796875,7332.475514322917,842.6663815453394,576.478766287947,266.1876152573924,1.133708997808292
