ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,fg_fng_value,fg_fng_value_lower,fg_fng_value_upper,fg_fng_value_ma30,fg_fng_value_ma30_lower,fg_fng_value_ma30_upper,gt_bitcoin_ma30,gt_bitcoin_ma30_lower,gt_bitcoin_ma30_upper,hr_hash_rate_ma30,hr_hash_rate_ma30_lower,hr_hash_rate_ma30_upper,m2_ma30,m2_ma30_lower,m2_ma30_upper,macd_signal_9,macd_signal_9_lower,macd_signal_9_upper,sma_200,sma_200_lower,sma_200_upper,sma_50,sma_50_lower,sma_50_upper,spx_close,spx_close_lower,spx_close_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-02-01,47199.693536361134,57490.458318674195,75214.22150035528,38621.45867563516,55823.0932347741,19190.751277778614,19190.751277778614,19190.751277778614,19974.385551542066,19974.385551542066,19974.385551542066,-843.0676177951417,-843.0676177951417,-843.0676177951417,-1092.6133127913236,-1092.6133127913236,-1092.6133127913236,86.22695744576474,86.22695744576474,86.22695744576474,-2036.5213921876034,-2036.5213921876034,-2036.5213921876034,-1836.58069560183,-1836.58069560183,-1836.58069560183,-3145.1267918576505,-3145.1267918576505,-3145.1267918576505,-5350.314306088651,-5350.314306088651,-5350.314306088651,29525.742735329954,29525.742735329954,29525.742735329954,4666.63997508855,4666.63997508855,4666.63997508855,-57.61211337844472,-57.61211337844472,-57.61211337844472,-726.0221603850057,-726.0221603850057,-726.0221603850057,0.0,0.0,0.0,66390.44481413974
2025-02-02,47230.6541629556,57883.38438575532,75249.2461032082,38593.340869168474,55903.755290554705,19293.426067688506,19293.426067688506,19293.426067688506,19974.385551542066,19974.385551542066,19974.385551542066,-843.0676177951417,-843.0676177951417,-843.0676177951417,-1092.6133127913236,-1092.6133127913236,-1092.6133127913236,86.22695744576474,86.22695744576474,86.22695744576474,-2036.5213921876034,-2036.5213921876034,-2036.5213921876034,-1836.58069560183,-1836.58069560183,-1836.58069560183,-3145.1267918576505,-3145.1267918576505,-3145.1267918576505,-5350.314306088651,-5350.314306088651,-5350.314306088651,29525.742735329954,29525.742735329954,29525.742735329954,4666.63997508855,4666.63997508855,4666.63997508855,-26.1026724684688,-26.1026724684688,-26.1026724684688,-654.8568113850916,-654.8568113850916,-654.8568113850916,0.0,0.0,0.0,66524.0802306441
2025-02-03,47261.61478955008,57695.60062349103,75714.65197964435,38566.66145047832,55984.41734633531,19481.187281744027,19481.187281744027,19481.187281744027,19974.385551542066,19974.385551542066,19974.385551542066,-843.0676177951417,-843.0676177951417,-843.0676177951417,-1092.6133127913236,-1092.6133127913236,-1092.6133127913236,86.22695744576474,86.22695744576474,86.22695744576474,-2036.5213921876034,-2036.5213921876034,-2036.5213921876034,-1836.58069560183,-1836.58069560183,-1836.58069560183,-3145.1267918576505,-3145.1267918576505,-3145.1267918576505,-5350.314306088651,-5350.314306088651,-5350.314306088651,29525.742735329954,29525.742735329954,29525.742735329954,4666.63997508855,4666.63997508855,4666.63997508855,92.98707490716279,92.98707490716279,92.98707490716279,-586.1853447052009,-586.1853447052009,-586.1853447052009,0.0,0.0,0.0,66742.8020712941
2025-02-04,47292.57541614456,57785.49424194715,75886.4357292029,38541.764774117866,56074.514954713784,19379.453641696444,19379.453641696444,19379.453641696444,19974.385551542066,19974.385551542066,19974.385551542066,-843.0676177951417,-843.0676177951417,-843.0676177951417,-1092.6133127913236,-1092.6133127913236,-1092.6133127913236,86.22695744576474,86.22695744576474,86.22695744576474,-2036.5213921876034,-2036.5213921876034,-2036.5213921876034,-1836.58069560183,-1836.58069560183,-1836.58069560183,-3145.1267918576505,-3145.1267918576505,-3145.1267918576505,-5350.314306088651,-5350.314306088651,-5350.314306088651,29525.742735329954,29525.742735329954,29525.742735329954,4666.63997508855,4666.63997508855,4666.63997508855,-74.17008648066731,-74.17008648066731,-74.17008648066731,-520.7618233649564,-520.7618233649564,-520.7618233649564,0.0,0.0,0.0,66672.029057841
2025-02-05,47323.53604273902,57819.77995406608,75808.20900520278,38517.929057019086,56155.52515921556,19589.618322992297,19589.618322992297,19589.618322992297,19974.385551542066,19974.385551542066,19974.385551542066,-843.0676177951417,-843.0676177951417,-843.0676177951417,-1092.6133127913236,-1092.6133127913236,-1092.6133127913236,86.22695744576474,86.22695744576474,86.22695744576474,-2036.5213921876034,-2036.5213921876034,-2036.5213921876034,-1836.58069560183,-1836.58069560183,-1836.58069560183,-3145.1267918576505,-3145.1267918576505,-3145.1267918576505,-5350.314306088651,-5350.314306088651,-5350.314306088651,29525.742735329954,29525.742735329954,29525.742735329954,4666.63997508855,4666.63997508855,4666.63997508855,74.38469266287073,74.38469266287073,74.38469266287073,-459.15192121264215,-459.15192121264215,-459.15192121264215,0.0,0.0,0.0,66913.15436573132
2025-02-06,47354.49666933349,58017.04813288852,76101.94446257448,38487.49767468049,56233.65052784181,19537.643752254342,19537.643752254342,19537.643752254342,19974.385551542066,19974.385551542066,19974.385551542066,-843.0676177951417,-843.0676177951417,-843.0676177951417,-1092.6133127913236,-1092.6133127913236,-1092.6133127913236,86.22695744576474,86.22695744576474,86.22695744576474,-2036.5213921876034,-2036.5213921876034,-2036.5213921876034,-1836.58069560183,-1836.58069560183,-1836.58069560183,-3145.1267918576505,-3145.1267918576505,-3145.1267918576505,-5350.314306088651,-5350.314306088651,-5350.314306088651,29525.742735329954,29525.742735329954,29525.742735329954,4666.63997508855,4666.63997508855,4666.63997508855,-35.02812691295916,-35.02812691295916,-35.02812691295916,-401.7136723747679,-401.7136723747679,-401.7136723747679,0.0,0.0,0.0,66892.14042158783
2025-02-07,47385.45729592797,57941.61838284885,76195.01621291683,38455.85090169286,56311.58790671362,19651.34200918483,19651.34200918483,19651.34200918483,19974.385551542066,19974.385551542066,19974.385551542066,-843.0676177951417,-843.0676177951417,-843.0676177951417,-1092.6133127913236,-1092.6133127913236,-1092.6133127913236,86.22695744576474,86.22695744576474,86.22695744576474,-2036.5213921876034,-2036.5213921876034,-2036.5213921876034,-1836.58069560183,-1836.58069560183,-1836.58069560183,-3145.1267918576505,-3145.1267918576505,-3145.1267918576505,-5350.314306088651,-5350.314306088651,-5350.314306088651,29525.742735329954,29525.742735329954,29525.742735329954,4666.63997508855,4666.63997508855,4666.63997508855,25.541231671536377,25.541231671536377,25.541231671536377,-348.5847740287688,-348.5847740287688,-348.5847740287688,0.0,0.0,0.0,67036.7993051128
2025-02-08,47416.41792252243,57940.32603161476,76284.36815509491,38425.78480812205,56404.686506515034,19617.09656306939,19617.09656306939,19617.09656306939,19974.385551542066,19974.385551542066,19974.385551542066,-843.0676177951417,-843.0676177951417,-843.0676177951417,-1092.6133127913236,-1092.6133127913236,-1092.6133127913236,86.22695744576474,86.22695744576474,86.22695744576474,-2036.5213921876034,-2036.5213921876034,-2036.5213921876034,-1836.58069560183,-1836.58069560183,-1836.58069560183,-3145.1267918576505,-3145.1267918576505,-3145.1267918576505,-5350.314306088651,-5350.314306088651,-5350.314306088651,29525.742735329954,29525.742735329954,29525.742735329954,4666.63997508855,4666.63997508855,4666.63997508855,-57.612113378866304,-57.612113378866304,-57.612113378866304,-299.6768750938116,-299.6768750938116,-299.6768750938116,0.0,0.0,0.0,67033.51448559182
2025-02-09,47447.378549116904,57741.61562393572,76489.75232605824,38397.035408856515,56485.773253117026,19693.605799796464,19693.605799796464,19693.605799796464,19974.385551542066,19974.385551542066,19974.385551542066,-843.0676177951417,-843.0676177951417,-843.0676177951417,-1092.6133127913236,-1092.6133127913236,-1092.6133127913236,86.22695744576474,86.22695744576474,86.22695744576474,-2036.5213921876034,-2036.5213921876034,-2036.5213921876034,-1836.58069560183,-1836.58069560183,-1836.58069560183,-3145.1267918576505,-3145.1267918576505,-3145.1267918576505,-5350.314306088651,-5350.314306088651,-5350.314306088651,29525.742735329954,29525.742735329954,29525.742735329954,4666.63997508855,4666.63997508855,4666.63997508855,-26.102672469054443,-26.102672469054443,-26.102672469054443,-254.6770792765515,-254.6770792765515,-254.6770792765515,0.0,0.0,0.0,67140.98434891336
2025-02-10,47478.33917571137,57459.24830616141,76351.61259795899,38368.28600959097,56570.458419264185,19854.315947490766,19854.315947490766,19854.315947490766,19974.385551542066,19974.385551542066,19974.385551542066,-843.0676177951417,-843.0676177951417,-843.0676177951417,-1092.6133127913236,-1092.6133127913236,-1092.6133127913236,86.22695744576474,86.22695744576474,86.22695744576474,-2036.5213921876034,-2036.5213921876034,-2036.5213921876034,-1836.58069560183,-1836.58069560183,-1836.58069560183,-3145.1267918576505,-3145.1267918576505,-3145.1267918576505,-5350.314306088651,-5350.314306088651,-5350.314306088651,29525.742735329954,29525.742735329954,29525.742735329954,4666.63997508855,4666.63997508855,4666.63997508855,92.98707490724024,92.98707490724024,92.98707490724024,-213.05667895854216,-213.05667895854216,-213.05667895854216,0.0,0.0,0.0,67332.65512320213
