date,btc_open,btc_high,btc_low,btc_close,eth_open,eth_high,eth_low,eth_close,spx_close,m2,btc_volume,eth_volume,fg_fng_value,gt_bitcoin,hr_hash_rate,btc_volume_log1p,btc_ret_1w,btc_ret_4w,btc_ret_12w,eth_ret_1w,eth_ret_4w,spx_ret_1w,btc_vol_4w,btc_vol_13w,btc_sma_4,btc_sma_13,btc_sma_ratio_4,btc_sma_ratio_13,fg_fng_value_z_13,gt_bitcoin_z_13,hr_hash_rate_z_13,m2_chg_1w,m2_chg_4w,m2_chg_1w_l1,m2_chg_1w_l2,m2_chg_1w_l4,m2_chg_1w_l8,y_ret_1w,btc_close_next
2019-04-05 00:00:00+00:00,4922.80615234375,5053.509765625,4919.49169921875,5036.68115234375,158.02000427246094,167.2203826904297,157.44395446777344,165.5148468017578,2892.739990234375,14670.3,108239679699.0,49939254241.0,60.857142857142854,8.688428571428572,46162884.39079505,23.396746550687993,0.20615692911423267,0.2554807008643145,0.31183512305885763,0.14973699640894544,0.20284526612689913,0.02037390635908576,0.09486745944822939,0.0680385666557479,4279.9837646484375,3892.8218524639424,0.1767991257222603,0.29383808024911473,1.4111389519673023,2.9206307759457815,1.3394381479141126,0.008247252633966307,0.009225244561852364,-0.0026663559345270205,0.0006996364634064278,0.010117715731102317,0.004511697639552281,0.010439905339410416,5089.5390625
2019-04-12 00:00:00+00:00,5061.20068359375,5103.2744140625,4955.8525390625,5089.5390625,165.335205078125,166.1275177001953,161.0297393798828,164.736328125,2907.409912109375,14718.1,111196842593.0,53654180034.0,61.714285714285715,7.4711428571428575,46326668.878042944,23.485672209923994,0.010439905339410416,0.2507131861515628,0.3303146359381106,-0.004714715210572429,0.17932841932595167,0.005058473799241625,0.09570885066405055,0.06525666040218714,4562.1407470703125,4000.681358924279,0.11560325396983173,0.2721680648589564,1.2424367523219364,1.4556396292990967,1.2120359031843368,0.0032582837433454692,0.00954112079017766,0.008247252633966307,-0.0026663559345270205,0.002944373357548713,0.00032627106878058143,0.04123863258373994,5303.8125
2019-04-19 00:00:00+00:00,5298.154296875,5336.68017578125,5233.3349609375,5303.8125,173.7878875732422,173.97889709472656,170.62020874023438,173.70843505859375,2905.030029296875,14740.3,84599266604.0,39766754269.0,58.42857142857143,6.505857142857143,44628050.12490086,23.210788796801353,0.04123863258373994,0.27615735606047487,0.3875570945826947,0.05303204878733414,0.23607378748919583,-0.0008188929157055824,0.09234043201378947,0.06461883188992336,4882.101806640625,4127.294677734375,0.08637892245216294,0.28505786819938406,0.8771155463835238,0.46390033564616984,0.16645258529500798,0.001508346865424226,0.010356976393496531,0.0032582837433454692,0.008247252633966307,0.0006996364634064278,2.0819020257079046e-05,-0.004623268958450666,5279.34814453125
2019-04-26 00:00:00+00:00,5210.3046875,5383.63427734375,5177.36865234375,5279.34814453125,154.57943725585938,158.0290069580078,152.08567810058594,156.3470916748047,2939.8798828125,14606.6,106560856348.0,47017764542.0,59.57142857142857,7.093285714285714,45506058.9646577,23.441978813912865,-0.004623268958450666,0.25321219807893236,0.4144898054534405,-0.10529975078776488,0.09275457919794228,0.011924996971923285,0.0971297519893782,0.06403896903289955,5177.34521484375,4256.493314302885,0.019701782565136217,0.2403045781350852,0.829738507119364,0.8954106684685171,0.6372295980326866,-0.00907037170206837,0.003869336027435999,0.001508346865424226,0.0032582837433454692,-0.0026663559345270205,-0.0013601476731759377,0.08857296561247985,5768.28955078125
2019-05-03 00:00:00+00:00,5505.55224609375,5865.8818359375,5490.20166015625,5768.28955078125,162.07516479492188,170.06874084472656,161.08062744140625,167.95240783691406,2945.639892578125,14492.3,100590491126.0,42705337431.0,47.142857142857146,6.212000000000001,50755317.147516266,23.3810419060277,0.08857296561247985,0.13562823457717954,0.4530616309189579,0.07160217023049764,0.014619753019494475,0.001957350182968831,0.04113962724873124,0.06316251975040119,5360.247314453125,4431.904409555288,0.07612377048870456,0.3015374470497796,-0.3413092473455429,8.692337004735832e-16,2.590379772993117,-0.007825229690687885,-0.012133357872708861,-0.00907037170206837,0.001508346865424226,0.008247252633966307,0.010117715731102317,0.10061209430742224,6378.84912109375
2019-05-10 00:00:00+00:00,6175.82275390625,6434.61767578125,6161.51904296875,6378.84912109375,170.31297302246094,175.88526916503906,168.99142456054688,173.1427459716797,2881.39990234375,14569.8,117665318405.0,49548155483.0,66.0,8.268571428571429,47079569.71376046,23.541139248330495,0.10061209430742224,0.22580042354519136,0.5662897163638174,0.03043572291101171,0.04977019114107861,-0.022049821259407132,0.04810926928447048,0.06543615991358413,5682.5748291015625,4640.5250901442305,0.12252795835198382,0.37459640820420415,1.609470506456284,1.6120710293258247,0.766049933063447,0.005347667381988996,-0.010076028835243722,-0.007825229690687885,-0.00907037170206837,0.0032582837433454692,0.002944373357548713,0.14088173243649926,7343.8955078125
2019-05-17 00:00:00+00:00,7886.92578125,7929.1455078125,7038.12451171875,7343.8955078125,263.8483581542969,266.9796142578125,227.76742553710935,243.76458740234375,2859.530029296875,14567.9,208927975823.0,94181604639.0,74.85714285714286,14.186857142857141,49356262.702941656,24.117412861621908,0.14088173243649926,0.3254435233979507,0.6061943646300154,0.3420865783444933,0.33882472069823777,-0.007618967345103478,0.06153218447302894,0.06842498356864617,6192.5955810546875,4926.916222205529,0.18591556830871392,0.49056634547867595,2.119925284767048,2.938351056398316,1.4824749605065688,-0.00013040673173270179,-0.011695827086287247,0.005347667381988996,-0.007825229690687885,0.001508346865424226,0.0006996364634064278,0.0839923172295034,7987.37158203125
2019-05-24 00:00:00+00:00,7881.6953125,8140.7197265625,7824.44873046875,7987.37158203125,245.98709106445312,255.25933837890625,243.24009704589844,249.4849853515625,2826.06005859375,14593.3,171323065984.0,75781338574.0,68.0,10.577285714285713,53086338.2060382,23.919057653664996,0.0839923172295034,0.41405910958590475,0.7273024038632894,0.023195780588618042,0.4673202520746207,-0.011773749715358939,0.025878556685912754,0.06761888015032556,6869.6014404296875,5233.211989182692,0.16271251706440304,0.5262847365139309,1.142074722326406,1.2263008378109703,2.208295600687227,0.00174355946979321,-0.0009105472868430331,-0.00013040673173270179,0.005347667381988996,-0.00907037170206837,-0.0026663559345270205,0.07093116788956877,8574.501953125
2019-05-31 00:00:00+00:00,8320.2861328125,8586.6591796875,8172.55078125,8574.501953125,256.0152587890625,268.6599426269531,249.11184692382812,268.1135559082031,2752.06005859375,14582.6,179196741503.0,75705189023.0,68.85714285714286,10.661142857142858,53946510.82130934,23.96174756555966,0.07093116788956877,0.39641731186299367,0.7875262473044877,0.07201187241484064,0.4677299542589637,-0.026533792742947426,0.030384890438199856,0.06201525557945952,7571.154541015625,5595.8980055588945,0.13252237907361253,0.5322834591708423,1.0567411286767174,1.0745632046893279,1.9132017350766768,-0.0007332131868733605,0.00623089502701446,0.00174355946979321,-0.00013040673173270179,-0.007825229690687885,0.008247252633966307,-0.06387250833492786,8043.951171875
2019-06-07 00:00:00+00:00,7826.9013671875,8126.1533203125,7788.37353515625,8043.951171875,249.3352813720703,254.352294921875,246.597900390625,250.93035888671875,2873.340087890625,14714.4,149745720322.0,63388842625.0,45.857142857142854,9.401857142857143,53928221.32693374,23.782897590232945,-0.06387250833492786,0.23193270922064357,0.7084463189173977,-0.0662351608443954,0.3710590705035566,0.04312540332884751,0.08672774332253325,0.0700277828655488,7987.4300537109375,5914.576434795673,0.007076258293843063,0.360021509664181,-1.4794029534152633,0.5065805589415135,1.5497608010182133,0.009038168776486888,0.00992463863608295,-0.0007332131868733605,0.00174355946979321,0.005347667381988996,0.0032582837433454692,0.07769352286902098,8693.8330078125
