ds,P_forecast,P_bull_1sigma,P_bear_1sigma,rhat,P_forecast_cal,P_bull_cal_1sigma,P_bear_cal_1sigma
2025-10-10,115235.88341771968,122612.43207637372,108303.11904090412,0.010290877893567,113666.78943259508,119494.61034834688,108123.19469681125
2025-10-17,116427.88467300446,123880.73643274132,109423.40770463616,0.010290877893567,113278.82161337632,125192.4592809826,102498.91646680346
2025-10-24,117632.2160024854,125162.16014342834,110555.28464672247,0.010290877893567,112892.17800705651,131161.99814477502,97167.19808667101
2025-10-31,118849.00494858666,126456.83891518132,111698.86973644288,0.010290877893567,112506.85409382831,137416.18190212565,92112.82137867465
2025-11-07,120078.38037303262,127764.90985849882,112854.2840830062,0.010290877893567,112122.84536931137,143968.5832455452,87321.3597738137
2025-11-14,121320.47247049476,129086.51150215196,114021.65004837637,0.010290877893567,111740.14734449974,150833.42205281323,82779.13713446523
2025-11-21,122575.41278237976,130421.78380785494,115201.09126023077,0.010290877893567,111358.75554570933,158025.59624664544,78473.18871895903
2025-11-28,123843.33421075996,131770.86818508757,116392.73262505289,0.010290877893567,110978.66551452564,165560.7141258388,74391.22417667058
2025-12-05,125124.37103244824,133133.9075060708,117596.7003413602,0.010290877893567,110599.87280775167,173455.1282380596,70521.59246800987
2025-12-12,126418.65891321842,134511.04612089746,118813.12191306916,0.010290877893567,110222.37299735594,181725.97086778405,66853.24860917819
2025-12-19,127726.33492217243,135902.42987281937,120042.126162998,0.010290877893567,109846.16167042073,190391.19121640638,63375.72214677346
2025-12-26,129047.53754625667,137308.20611369246,121283.84324650971,0.010290877893567,109471.23442909052,199469.59435520243,60079.08727226182
2026-01-02,130382.40670492793,138728.523719582,122538.40466529582,0.010290877893567,109097.58689052054,208980.88203568308,56953.93449101418
2026-01-09,131731.08376497144,140163.53310652895,123805.94328130272,0.010290877893567,108725.2146868256,218945.69544590364,53991.34376504345
2026-01-16,133093.71155547205,141613.3862464793,125086.59333080232,0.010290877893567,108354.11346502893,229385.66000551765,51182.85905278442
2026-01-23,134470.4343829402,143078.2366833787,126380.49043860796,0.010290877893567,107984.27888701142,240323.4322967887,48520.46417324594
2026-01-30,135861.39804659455,144558.23954943297,127687.77163243758,0.010290877893567,107615.70662946078,251782.74923340863,45996.55992564505
2026-02-06,137266.7498538024,146053.55158153726,129008.57535742538,0.010290877893567,107248.3923838211,263788.47957382735,43603.94239921634
2026-02-13,138686.6386356802,147564.33113787486,130343.04149078352,0.010290877893567,106882.33185624244,276366.6778908875,41335.782411286775
2026-02-20,140121.214762855,149090.73821468788,131691.3113566156,0.010290877893567,106517.52076753062,289544.641114887,39185.6060149266
2026-02-27,141570.63016138936,150632.93446322135,133053.52774088335,0.010290877893567,106153.95485309724,303350.96777277946,37147.27602053998
2026-03-06,143035.0383288707,152191.08320684248,134429.83490652803,0.010290877893567,105791.6298629098,317815.62005206995,35214.97447865283
2026-03-13,144514.59435066715,153765.3494583373,135820.3786087484,0.010290877893567,105430.54156144202,332969.98882409796,33383.186073898934
2026-03-20,146009.45491635168,155355.8999373859,137225.30611043653,0.010290877893567,105070.68572762434,348846.9617678184,31646.682382806404
2026-03-27,147519.77833629586,156962.9030882186,138644.76619777363,0.010290877893567,104712.05815479455,365480.99474192125,30000.506950451756
2026-04-03,149045.72455843556,158586.52909745462,140078.90919598663,0.010290877893567,104354.65465064865,382908.18656018144,28439.96114338637
2026-04-10,150587.4551852098,160226.9499121256,141527.8869852684,0.010290877893567,103998.4710371918,401166.35733231273,26960.590738455736
2026-04-17,152145.13349067513,161884.33925788503,142991.8530168622,0.010290877893567,103643.50315068955,420295.1305403414,25558.173209232304
2026-04-24,153718.92443779664,163558.87265740664,144470.9623293126,0.010290877893567,103289.74684161907,440336.0190286179,24228.705673773948
2026-05-01,155308.99469591823,165250.7274489725,145965.37156488464,0.010290877893567,102937.19797462072,461332.51509408234,22968.393469307684
2026-05-08,156915.5126584133,166960.08280525394,147475.23898615266,0.010290877893567,102585.85242844968,483330.18487229367,21773.639321227653
2026-05-15,158538.6484605182,168687.1197522863,149000.7244927608,0.010290877893567,102235.70609592777,506376.76722405845,20641.033075492724
2026-05-22,160178.57399735,170432.0211886403,150541.989638357,0.010290877893567,101886.75488389544,530522.2773372603,19567.341965117233
2026-05-29,161835.46294211084,172194.97190479148,152099.19764770177,0.010290877893567,101538.99471316393,555819.1152687244,18549.50138297272
2026-06-05,163509.49076448035,173976.15860269012,153672.51343395442,0.010290877893567,101192.42151846758,582322.1796616721,17584.606134563735
2026-06-12,165200.83474919846,175775.76991553354,155262.10361613784,0.010290877893567,100847.03124841632,610088.9868855535,16669.902145810756
2026-06-19,166909.67401484045,177593.9964277429,156868.13653678395,0.010290877893567,100502.81986544824,639179.7958568113,15802.778602171988
2026-06-26,168636.18953278608,179431.03069514685,158490.78227976162,0.010290877893567,100159.78334578252,669657.7388114614,14980.760496666915
2026-07-03,170380.5641463851,181287.06726537348,160130.21268828918,0.010290877893567,99817.91767937227,701588.9583132865,14201.501565531677
2026-07-10,172142.98259032087,183162.30269845383,161786.6013831331,0.010290877893567,99477.21886985774,735042.7507949795,13462.77759134266
2026-07-17,173923.6315101744,185056.9355876381,163460.12378099497,0.010290877893567,99137.68293451954,770091.7169437421,12762.480054493628
2026-07-24,175722.69948219066,186971.16658042703,165150.95711308875,0.010290877893567,98799.30590423213,806811.9192577054,12098.610114905965
2026-07-31,177540.37703324933,188905.1983998218,166859.28044391,0.010290877893567,98462.08382341737,845283.0471150958,11469.272906794185
2026-08-07,179376.85666104231,190859.2358657921,168585.27469019938,0.010290877893567,98126.01274999835,885588.5897143771,10872.672130202416
2026-08-14,181232.33285445973,192833.4859169679,170329.12264010237,0.010290877893567,97791.08875535324,927816.0172606793,10307.10492387464
2026-08-21,183107.00211418697,194828.1576325546,172091.00897252702,0.010290877893567,97457.30792426941,972056.9707917204,9770.957004824448
2026-08-28,185001.06297351455,196843.46225447513,173871.12027670204,0.010290877893567,97124.66635489762,1018407.4610551781,9262.698060731327
2026-09-04,186914.71601936384,198879.61320974136,175669.64507193724,0.010290877893567,96793.16015870648,1066968.0768691094,8780.87738201212
2026-09-11,188848.16391352928,200936.8261330565,177486.77382758824,0.010290877893567,96462.78546043689,1117844.2034175997,8324.119721100395
2026-09-18,190801.61141414125,203015.3188896514,179322.69898322775,0.010290877893567,96133.53839805684,1171146.2509553789,7891.121367114983
2026-09-25,192775.26539735045,205115.3115983574,181177.6149690256,0.010290877893567,95805.41512271621,1226989.8944177364,7480.64642471372
2026-10-02,194769.3348792369,207237.02665491743,183051.71822633935,0.010290877893567,95478.41179870177,1285496.3244557304,7091.523286511221
