fold,RMSE_$,MAE_$,sMAPE,R2_price,best_iter,val_size
1,,,,1.0,3,0
2,,,,1.0,2,0
3,,,,1.0,48,0
4,,,,1.0,18,0
5,,,,1.0,40,0
