date,fg_fng_value_z13w,gt_bitcoin_z13w,hr_hash_rate_z13w
2019-01-04 00:00:00+00:00,,,
2019-01-11 00:00:00+00:00,,,
2019-01-18 00:00:00+00:00,,,
2019-01-25 00:00:00+00:00,,,
2019-02-01 00:00:00+00:00,,,
2019-02-08 00:00:00+00:00,,,
2019-02-15 00:00:00+00:00,,,
2019-02-22 00:00:00+00:00,1.9059374147998682,0.006040243815393772,0.08637784433205098
2019-03-01 00:00:00+00:00,1.0928208664260286,-0.12647109823813696,0.784642968361405
2019-03-08 00:00:00+00:00,0.6459286136994942,-1.094019051822956,1.2910551976762838
2019-03-15 00:00:00+00:00,1.4204437557014054,-1.267204020664345,-0.4851507993991492
2019-03-22 00:00:00+00:00,1.3533658871462064,-0.7912342523029088,2.0894162962763074
2019-03-29 00:00:00+00:00,0.49819774478030904,-1.0473438151962438,1.5446949621555903
2019-04-05 00:00:00+00:00,1.4111389519673023,2.9206307759457815,1.3394381479141126
2019-04-12 00:00:00+00:00,1.2424367523219364,1.4556396292990967,1.2120359031843368
2019-04-19 00:00:00+00:00,0.8771155463835238,0.46390033564616984,0.16645258529500798
2019-04-26 00:00:00+00:00,0.829738507119364,0.8954106684685171,0.6372295980326866
2019-05-03 00:00:00+00:00,-0.3413092473455429,8.692337004735832e-16,2.590379772993117
2019-05-10 00:00:00+00:00,1.609470506456284,1.6120710293258247,0.766049933063447
2019-05-17 00:00:00+00:00,2.119925284767048,2.938351056398316,1.4824749605065688
2019-05-24 00:00:00+00:00,1.142074722326406,1.2263008378109703,2.208295600687227
2019-05-31 00:00:00+00:00,1.0567411286767174,1.0745632046893279,1.9132017350766768
2019-06-07 00:00:00+00:00,-1.4794029534152633,0.5065805589415135,1.5497608010182133
2019-06-14 00:00:00+00:00,0.06143586424835739,0.016835488740977046,1.5864131371441346
2019-06-21 00:00:00+00:00,1.8494785980553532,1.001601823208837,1.302648584409656
2019-06-28 00:00:00+00:00,1.6835121638503843,2.717029842383902,1.5330174698574481
2019-07-05 00:00:00+00:00,0.5765711952307857,0.79648401750186,2.343768649556649
2019-07-12 00:00:00+00:00,0.19715140792889832,0.35919639038962003,1.5664240581210005
2019-07-19 00:00:00+00:00,-1.8369963129406333,0.2833654357585261,1.1400626890216734
2019-07-26 00:00:00+00:00,-1.7504467815723788,-0.39348564732616165,1.373027684534371
2019-08-02 00:00:00+00:00,-1.5046392329839677,-0.6406562277371013,2.125082050075731
2019-08-09 00:00:00+00:00,-0.06497118154755631,-0.2932894214139819,1.8743690427891928
2019-08-16 00:00:00+00:00,-1.2542697452559286,-0.4985167218467194,1.2998135321992172
2019-08-23 00:00:00+00:00,-1.6470003422796344,-0.7500207426342017,0.9681674363143665
2019-08-30 00:00:00+00:00,-0.9964342737422621,-0.7877813885322972,1.4034882819373369
2019-09-06 00:00:00+00:00,-0.7847865964651944,-0.8735069629694167,1.839396349889816
2019-09-13 00:00:00+00:00,-0.4423213596506424,-1.1073918247058694,1.661933824311011
2019-09-20 00:00:00+00:00,-0.41651177086859087,-1.0535648581840809,1.5520320181487421
