ds,y,spx_close,fg_fng_value,btc_eth_ratio,fg_fng_value_ma30,gt_bitcoin_ma30,hr_hash_rate_ma30,fg_fng_value_z91d,m2_ma30,m2_lag30,rsi_14,sma_50,sma_200,macd_12_26,macd_signal_9,sma_ratio_50_200
2019-06-16,8994.48828125,2886.97998046875,80.0,33.40903791085509,61.833333333333336,9.7741,53997784.21706168,1.7663724427261989,14630.239999999998,14567.9,66.38821938594151,7477.428193359375,6942.86709132339,275.92877693780974,239.28495423852792,1.076994287086963
2019-06-17,9320.3525390625,2889.669921875,84.0,33.972352865209174,62.4,9.852433333333332,53931125.774831794,2.0457698764884387,14636.506666666666,14567.9,69.89440691178481,7558.1324609375,6978.351948752332,330.797303179399,257.5874240267022,1.0830827273320354
2019-06-18,9081.7626953125,2917.75,83.0,34.26409857943709,62.833333333333336,9.871999999999998,53864467.33260192,1.895994307147204,14642.773333333333,14567.9,64.58241043014431,7634.8206640625,7009.284459731158,350.9828868794557,276.2665165972529,1.0892439460725405
2019-06-19,9273.521484375,2926.4599609375,82.0,34.418809205072385,63.13333333333333,9.813266666666667,54248922.92163515,1.7572520225190869,14649.04,14567.9,66.76843084024382,7713.2765625,7042.099489073822,378.09499532318114,296.63221234243855,1.0953092290825404
2019-06-20,9527.16015625,2954.179931640625,81.0,35.0656430903092,63.56666666666667,9.7741,54633378.51066838,1.6316473870882475,14655.306666666667,14567.9,69.45398916254118,7795.7658203125,7077.600355747768,415.2611852184273,320.3580069176363,1.1014701916563436
2019-06-21,10144.556640625,2950.4599609375,84.0,34.398789687508405,64.06666666666666,9.8916,54410968.86948779,1.820629312969447,14662.929999999998,14567.9,74.79378589943661,7888.551279296875,7120.796923140405,488.8986753689096,354.066140607891,1.1078186001431247
2019-06-22,10701.69140625,2950.4599609375,83.0,34.590732048278056,64.66666666666667,10.283333333333331,54188559.22830721,1.6911724289076755,14670.553333333331,14567.9,78.45408054774934,7987.21931640625,7170.531568739149,585.464169748986,400.34574643611,1.1138950076208511
2019-06-23,10855.37109375,2950.4599609375,84.0,35.264428589117706,65.33333333333333,10.449833333333334,54711001.67482112,1.7266211138746628,14677.33,14593.3,79.3450709504312,8087.703388671875,7221.008822506421,666.7082880553262,453.6182547599533,1.120024028147444
2019-06-24,11011.1025390625,2945.35009765625,80.0,35.47109220255297,65.7,10.675066666666664,55233444.121335015,1.3771353309466363,14684.106666666665,14593.3,80.23695104140872,8192.01126953125,7272.226305162584,735.1862933281809,509.9318624735988,1.1264791448687048
2019-06-25,11790.9169921875,2917.3798828125,87.0,37.06363333663649,66.36666666666666,10.9689,55192860.48831093,1.8826401323011992,14690.883333333331,14593.3,83.96966708295665,8312.893466796875,7332.475514322917,842.6663815453394,576.478766287947,1.133708997808292
2019-06-26,13016.2314453125,2913.780029296875,95.0,38.652141856147246,67.2,11.487966666666669,55152276.85528685,2.4189490691560387,14697.66,14593.3,87.85216241947633,8456.62806640625,7407.26177657278,1015.0172744827668,664.1864679269111,1.141667234328391
2019-06-27,11182.806640625,2924.919921875,92.0,38.00216249581802,67.9,11.928666666666668,55181628.890623294,2.111801666070109,14704.436666666666,14593.3,63.19057867286556,8560.635048828124,7456.294826755276,992.2267671568734,729.7945277729036,1.1481084436347884
2019-06-28,12407.33203125,2941.760009765625,62.0,39.86597474450781,67.6,12.2029,55210980.92595974,-0.1762563878360926,14707.2,14593.3,69.37422888652466,8685.29111328125,7519.769662710337,1060.7464661718368,795.9849154526903,1.1549943020662716
2019-06-29,11959.37109375,2941.760009765625,74.0,37.36615708511598,67.63333333333334,12.300833333333337,55709912.030533865,0.7251405691217119,14709.963333333337,14593.3,65.06787624567745,8796.901552734374,7575.967149179193,1066.60693658331,850.1093196788144,1.1611588830196369
2019-06-30,10817.1552734375,2941.760009765625,78.0,37.21123053991979,68.2,12.369400000000002,56208843.13510799,1.008465783414702,14713.083333333334,14582.6,55.59205499515957,8869.149228515626,7616.482000732421,967.9264768912072,873.672751121293,1.1644679561591222
2019-07-01,10583.134765625,2964.330078125,65.0,36.04105245129095,68.3,12.5555,56222517.10733605,0.0175499911748633,14716.203333333337,14582.6,53.861369904342034,8941.3644921875,7653.107343508874,860.9139226415118,871.1209854253368,1.1683312530264305
2019-07-02,10801.677734375,2973.010009765625,63.0,37.043243392591464,68.3,12.761166666666666,56236191.07956412,-0.1371430183133439,14719.323333333332,14582.6,55.26208143282906,9001.09974609375,7691.504543397485,784.6948201223331,853.8357523647361,1.17026515362595
2019-07-03,11961.26953125,2995.820068359375,79.0,39.46311611581981,68.73333333333333,12.8787,57026698.15022148,1.0682218520082094,14722.443333333333,14582.6,61.87569638340386,9080.43681640625,7742.947495058358,808.5396572711543,844.7765333460197,1.172736457557215
2019-07-04,11215.4375,2995.820068359375,76.0,39.41835519497103,69.86666666666666,12.947266666666668,57817205.22087883,0.8258729180907265,14725.563333333334,14582.6,56.12836662560163,9140.64220703125,7784.2866617838545,758.5108102963422,827.5233887360843,1.1742427539194156
2019-07-05,10978.4599609375,2990.409912109375,67.0,38.11997982855544,71.2,13.0354,58324435.36260803,0.1402805094519227,14732.656666666668,14582.6,54.399383203756734,9202.51322265625,7821.865171185662,691.7662312279426,800.371957234456,1.1765113590242702
2019-07-06,11208.55078125,2990.409912109375,72.0,38.979875071425965,72.46666666666667,13.0648,58831665.50433722,0.5114040235424491,14739.75,14582.6,55.82232796916507,9279.806328125,7861.245236418968,649.9449172679069,770.2865492411462,1.180449922250769
2019-07-07,11450.8466796875,2990.409912109375,67.0,37.45772210107499,73.8,13.064799999999998,58890293.08176638,0.1359798146839613,14742.45,14714.4,57.33222984865088,9363.3991015625,7902.505023123204,629.1005986017226,742.0493591132615,1.184864682042546
2019-07-08,12285.9580078125,2975.949951171875,74.0,39.22075961491811,74.2,13.2117,58948920.65919555,0.6551162059799346,14745.15,14714.4,62.13573661834993,9445.16447265625,7952.31698885831,672.2189095985668,728.0832692103226,1.1877248462164562
2019-07-09,12573.8125,2979.6298828125,84.0,40.707625308837805,74.93333333333334,13.417366666666664,59323228.24863196,1.3766413631600052,14747.85,14714.4,63.65460846343412,9537.074541015623,8004.243904713834,721.3031992481046,726.727255217879,1.1915022398804065
2019-07-10,12156.5126953125,2993.070068359375,83.0,41.91867404077705,76.16666666666667,13.583866666666664,59697535.83806838,1.2738237135079813,14750.55,14714.4,59.90314194483639,9620.9382421875,8050.380224609375,718.2506987506131,725.0319439244258,1.195091160138878
2019-07-11,11358.662109375,2999.909912109375,62.0,42.27201826620514,76.2,13.740566666666668,59867449.30866168,-0.274127331335575,14753.25,14714.4,53.42069690710987,9694.51015625,8086.73497059581,644.0277447960179,708.8311040987443,1.1988163568486196
2019-07-12,11815.986328125,3013.77001953125,33.0,42.7686670823652,75.3,13.867866666666666,60037362.77925499,-2.371418061756197,14758.49,14714.4,56.33736177856195,9773.19294921875,8127.27031143852,615.0182143353413,690.0685261460637,1.202518505563143
2019-07-13,11392.37890625,3013.77001953125,65.0,42.27874113807312,75.36666666666666,13.916833333333331,60288622.9174329,-0.0471582475937345,14763.73,14714.4,53.025283542499565,9841.293095703126,8162.379006006385,551.4891501002203,662.3526509368951,1.2056893080389053
2019-07-14,10256.05859375,3013.77001953125,61.0,45.06611232677661,75.16666666666667,13.975600000000002,60539883.0556108,-0.348062642736968,14767.586666666666,14755.9,45.32716596182055,9885.363388671874,8184.65219311004,404.78425547042207,610.8389718436005,1.20779272661012
