ds,P_t,y_true,y_hat,dP_hat,signal
2023-01-13,19909.574,0.13013076161788284,0.007910363376140594,158.11652007319208,0
2023-01-20,22676.553,0.017579887617628742,0.008458122611045837,192.61449588184405,0
2023-01-27,23078.729,0.015930211094916658,0.00849882047623396,196.97782855186233,1
2023-02-03,23449.322,-0.07978144071949167,0.0085352323949337,201.0019918785656,1
2023-02-10,21651.184,0.12628703055703383,0.008111287839710712,176.33316322639803,1
2023-02-17,24565.602,-0.05727562907731709,0.008695264346897602,214.5357741548105,1
2023-02-24,23198.127,-0.03667804466264535,0.008410017937421799,195.91935206330163,1
2023-03-03,22362.68,-0.10234257820401638,0.008212431333959103,184.40815717281657,1
2023-03-10,20187.244,0.30636507011544367,0.0076802982948720455,155.64097516425318,0
2023-03-17,27423.93,0.0025258031337482834,0.009080515243113041,250.15747486494,1
2023-03-24,27493.285,0.03520706175280175,0.009047920815646648,249.88583452690364,1
2023-03-31,28478.484,-0.019595713531776582,0.009162423200905323,262.13096612911613,1
2023-04-07,27925.86,0.08770457995053427,0.009052427485585213,253.9444955365616,1
2023-04-14,30485.7,-0.11121716444363727,0.00943036936223507,288.8512576210669,1
2023-04-21,27276.91,0.07292014569861749,0.008892246522009373,243.6346322958343,1
2023-04-28,29340.262,0.0065944753260858135,0.009173162281513214,270.3812141096678,0
2023-05-05,29534.385,-0.09696711357502963,0.009162149392068386,271.84187385842233,1
2023-05-12,26804.99,0.003171203376986398,0.008720447309315205,234.77368087657305,1
2023-05-19,26890.129,-0.006373453706428833,0.008692707866430283,234.76693778173285,1
2023-05-26,26719.291,0.019652661239240032,0.008629193529486656,231.56359965972297,1
2023-06-02,27249.59,-0.028634582524549756,0.0086803724989295,237.566181423721,1
2023-06-09,26480.375,-0.005791277702932973,0.008519243448972702,226.55643572035478,1
2023-06-16,26327.463,0.15350243922717155,0.00845610722899437,223.57179149572403,0
2023-06-23,30695.469,-0.007134484850491063,0.00912181381136179,281.279291356921,1
2023-06-30,30477.252,-0.0044389112602374325,0.009055751375854015,277.2478659251574,1
2023-07-07,30342.266,-0.0002702206777964733,0.008998741395771503,274.2744165366057,1
2023-07-14,30334.068,-0.014120558220126256,0.008958356454968452,272.96422378659554,1
2023-07-21,29908.744,-0.019906718662410228,0.008857849054038525,266.1039541701248,1
