fold,rmse,r2,best_iter
1,0.046760737895965576,-0.2945783756898137,0
2,0.04347497969865799,0.0019004188460522986,6
3,0.03748816251754761,-0.1792283031395152,0
4,0.0262435395270586,0.0005406734221086174,4
5,0.025584928691387177,-0.0034364150040502306,1
