ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,fg_fng_value,fg_fng_value_lower,fg_fng_value_upper,fg_fng_value_ma30,fg_fng_value_ma30_lower,fg_fng_value_ma30_upper,gt_bitcoin_ma30,gt_bitcoin_ma30_lower,gt_bitcoin_ma30_upper,hr_hash_rate_ma30,hr_hash_rate_ma30_lower,hr_hash_rate_ma30_upper,m2_ma30,m2_ma30_lower,m2_ma30_upper,macd_signal_9,macd_signal_9_lower,macd_signal_9_upper,sma_200,sma_200_lower,sma_200_upper,sma_50,sma_50_lower,sma_50_upper,spx_close,spx_close_lower,spx_close_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-06-28,40450.27693876653,33299.93604365281,37232.364583184775,40450.27693876653,40450.27693876653,-5146.345336283791,-5146.345336283791,-5146.345336283791,-5535.419864215057,-5535.419864215057,-5535.419864215057,-4753.677936373524,-4753.677936373524,-4753.677936373524,2853.297543652175,2853.297543652175,2853.297543652175,338.8889063674405,338.8889063674405,338.8889063674405,1302.0709858488176,1302.0709858488176,1302.0709858488176,25819.843016777937,25819.843016777937,25819.843016777937,-536.0189163245191,-536.0189163245191,-536.0189163245191,4608.159602307095,4608.159602307095,4608.159602307095,-22852.9346306379,-22852.9346306379,-22852.9346306379,-12315.048435832578,-12315.048435832578,-12315.048435832578,25.541231671140178,25.541231671140178,25.541231671140178,363.53329626012453,363.53329626012453,363.53329626012453,0.0,0.0,0.0,35303.93160248274
2024-06-29,40481.23756536099,33391.97336488623,37172.04437523542,40481.23756536099,40481.23756536099,-5197.0875378900455,-5197.0875378900455,-5197.0875378900455,-5535.25311157705,-5535.25311157705,-5535.25311157705,-4754.171289495467,-4754.171289495467,-4754.171289495467,2853.5880478820295,2853.5880478820295,2853.5880478820295,339.25177618021536,339.25177618021536,339.25177618021536,1302.0709858521816,1302.0709858521816,1302.0709858521816,25819.84424845876,25819.84424845876,25819.84424845876,-536.0321264491766,-536.0321264491766,-536.0321264491766,4608.1576920539765,4608.1576920539765,4608.1576920539765,-22852.934219828923,-22852.934219828923,-22852.934219828923,-12315.028226230648,-12315.028226230648,-12315.028226230648,-57.61211337846069,-57.61211337846069,-57.61211337846069,395.7776870654657,395.7776870654657,395.7776870654657,0.0,0.0,0.0,35284.15002747095
2024-06-30,40512.19819195547,33425.5214896397,37276.9507206073,40512.19819195547,40512.19819195547,-5130.6367055366545,-5130.6367055366545,-5130.6367055366545,-5535.086358939053,-5535.086358939053,-5535.086358939053,-4754.664642617412,-4754.664642617412,-4754.664642617412,2853.8785521118853,2853.8785521118853,2853.8785521118853,339.6146459929902,339.6146459929902,339.6146459929902,1302.0709858555454,1302.0709858555454,1302.0709858555454,25819.84548013958,25819.84548013958,25819.84548013958,-536.0453365738341,-536.0453365738341,-536.0453365738341,4608.155781800858,4608.155781800858,4608.155781800858,-22852.93380901995,-22852.93380901995,-22852.93380901995,-12315.008016628715,-12315.008016628715,-12315.008016628715,-26.102672469140014,-26.102672469140014,-26.102672469140014,430.55232587153847,430.55232587153847,430.55232587153847,0.0,0.0,0.0,35381.56148641881
2024-07-01,40543.15881854994,33723.466969738074,37345.6716065397,40543.15881854994,40543.15881854994,-4975.272479134535,-4975.272479134535,-4975.272479134535,-5534.919606301049,-5534.919606301049,-5534.919606301049,-4755.157995739357,-4755.157995739357,-4755.157995739357,2854.16905634174,2854.16905634174,2854.16905634174,339.9775158057651,339.9775158057651,339.9775158057651,1302.0709858589094,1302.0709858589094,1302.0709858589094,25819.846711820406,25819.846711820406,25819.846711820406,-536.0585466984916,-536.0585466984916,-536.0585466984916,4608.153871547738,4608.153871547738,4608.153871547738,-22852.933398210975,-22852.933398210975,-22852.933398210975,-12314.987807026784,-12314.987807026784,-12314.987807026784,92.98707490712235,92.98707490712235,92.98707490712235,466.6600522593875,466.6600522593875,466.6600522593875,0.0,0.0,0.0,35567.8863394154
2024-07-02,40574.1194451444,33663.559820186754,37427.123962452315,40574.1194451444,40574.1194451444,-5106.017775928265,-5106.017775928265,-5106.017775928265,-5534.752853663041,-5534.752853663041,-5534.752853663041,-4755.651348861301,-4755.651348861301,-4755.651348861301,2854.459560571596,2854.459560571596,2854.459560571596,340.3403856185399,340.3403856185399,340.3403856185399,1302.0709858622736,1302.0709858622736,1302.0709858622736,25819.84794350123,25819.84794350123,25819.84794350123,-536.071756823149,-536.071756823149,-536.071756823149,4608.1519612946195,4608.1519612946195,4608.1519612946195,-22852.932987401997,-22852.932987401997,-22852.932987401997,-12314.967597424853,-12314.967597424853,-12314.967597424853,-74.17008648071408,-74.17008648071408,-74.17008648071408,502.90516421548807,502.90516421548807,502.90516421548807,0.0,0.0,0.0,35468.101669216136
2024-07-03,40605.08007173888,33786.10077504801,37565.79451464001,40605.08007173888,40605.08007173888,-4922.080770277048,-4922.080770277048,-4922.080770277048,-5534.586101025042,-5534.586101025042,-5534.586101025042,-4756.144701983245,-4756.144701983245,-4756.144701983245,2854.750064801451,2854.750064801451,2854.750064801451,340.70325543131486,340.70325543131486,340.70325543131486,1302.0709858656378,1302.0709858656378,1302.0709858656378,25819.849175182047,25819.849175182047,25819.849175182047,-536.0849669478065,-536.0849669478065,-536.0849669478065,4608.1500510415,4608.1500510415,4608.1500510415,-22852.93257659302,-22852.93257659302,-22852.93257659302,-12314.947387822922,-12314.947387822922,-12314.947387822922,74.38469266300861,74.38469266300861,74.38469266300861,538.1206380849892,538.1206380849892,538.1206380849892,0.0,0.0,0.0,35682.99930146183
2024-07-04,40636.04069833335,33647.835660212244,37610.590376958295,40636.04069833335,40636.04069833335,-4998.253940551967,-4998.253940551967,-4998.253940551967,-5534.419348387035,-5534.419348387035,-5534.419348387035,-4756.63805510519,-4756.63805510519,-4756.63805510519,2855.0405690313064,2855.0405690313064,2855.0405690313064,341.0661252440897,341.0661252440897,341.0661252440897,1302.0709858690018,1302.0709858690018,1302.0709858690018,25819.850406862868,25819.850406862868,25819.850406862868,-536.098177072464,-536.098177072464,-536.098177072464,4608.148140788381,4608.148140788381,4608.148140788381,-22852.932165784045,-22852.932165784045,-22852.932165784045,-12314.92717822099,-12314.92717822099,-12314.92717822099,-35.0281269129788,-35.0281269129788,-35.0281269129788,571.1935347480471,571.1935347480471,571.1935347480471,0.0,0.0,0.0,35637.78675778139
2024-07-05,40667.00132492782,33816.311960720755,37739.08811273627,40667.00132492782,40667.00132492782,-4907.6233793293995,-4907.6233793293995,-4907.6233793293995,-5534.252595749032,-5534.252595749032,-5534.252595749032,-4757.131408227134,-4757.131408227134,-4757.131408227134,2855.3310732611612,2855.3310732611612,2855.3310732611612,341.42899505686455,341.42899505686455,341.42899505686455,1302.0709858723658,1302.0709858723658,1302.0709858723658,25819.8516385437,25819.8516385437,25819.8516385437,-536.1113871971215,-536.1113871971215,-536.1113871971215,4608.146230535262,4608.146230535262,4608.146230535262,-22852.93175497507,-22852.93175497507,-22852.93175497507,-12314.906968619058,-12314.906968619058,-12314.906968619058,25.541231670981198,25.541231670981198,25.541231670981198,601.0879847486511,601.0879847486511,601.0879847486511,0.0,0.0,0.0,35759.37794559842
2024-07-06,40697.961951522295,33873.49864535736,37858.69520103724,40697.961951522295,40697.961951522295,-4964.832720026916,-4964.832720026916,-4964.832720026916,-5534.08584311103,-5534.08584311103,-5534.08584311103,-4757.624761349079,-4757.624761349079,-4757.624761349079,2855.621577491017,2855.621577491017,2855.621577491017,341.79186486963937,341.79186486963937,341.79186486963937,1302.0709858757298,1302.0709858757298,1302.0709858757298,25819.852870224517,25819.852870224517,25819.852870224517,-536.1245973217789,-536.1245973217789,-536.1245973217789,4608.144320282142,4608.144320282142,4608.144320282142,-22852.931344166092,-22852.931344166092,-22852.931344166092,-12314.886759017125,-12314.886759017125,-12314.886759017125,-57.61211337888226,-57.61211337888226,-57.61211337888226,626.8652364629932,626.8652364629932,626.8652364629932,0.0,0.0,0.0,35733.129231495375
2024-07-07,40728.92257811677,33893.64485502974,37788.062168448574,40728.92257811677,40728.92257811677,-4912.321407945717,-4912.321407945717,-4912.321407945717,-5533.919090473025,-5533.919090473025,-5533.919090473025,-4758.118114471022,-4758.118114471022,-4758.118114471022,2855.9120817208723,2855.9120817208723,2855.9120817208723,342.15473468241413,342.15473468241413,342.15473468241413,1302.0709858790938,1302.0709858790938,1302.0709858790938,25819.854101905337,25819.854101905337,25819.854101905337,-536.1378074464363,-536.1378074464363,-536.1378074464363,4608.142410029024,4608.142410029024,4608.142410029024,-22852.930933357115,-22852.930933357115,-22852.930933357115,-12314.866549415196,-12314.866549415196,-12314.866549415196,-26.102672468686354,-26.102672468686354,-26.102672468686354,647.7003549959963,647.7003549959963,647.7003549959963,0.0,0.0,0.0,35816.60117017105
